neworold,ownership,status,lift_avail,car_parking_avail,Gas_conn_avail,age,area,balconies,bathroom,bhk,floor,place,price,price_per_sq
1,3,3,1,1,0,1,4240,2,4,4 BHK Apartment ,1,Koregaon Park,68688000,16200
1,3,3,1,1,0,0,1026,2,2,2 BHK Apartment ,1,Manjari,4770900,4650
1,3,3,1,1,0,0,1426,2,3,3 BHK Apartment ,1,Manjari,6630900,4650
1,3,3,1,1,0,0,670,2,1,1 BHK Apartment ,1,Sus,4100000,6119
1,3,3,1,1,0,0,902,2,2,2 BHK Apartment ,1,Sus,5900000,6541
1,3,3,1,1,0,0,450,2,1,1 BHK Apartment ,1,Baner,4000000,8888
1,3,3,1,1,0,0,894,2,2,2 BHK Apartment ,1,Wagholi,3900000,4362
1,3,3,1,1,0,0,1026,2,2,2 BHK Apartment ,1,Manjari,4770900,4650
1,3,3,1,1,0,1,1385,2,2,2 BHK Apartment ,1,Viman Nagar,11218500,8100
1,3,3,1,1,0,0,1426,2,3,3 BHK Apartment ,1,Manjari,6630900,4650
1,3,3,1,1,0,0,1026,2,2,2 BHK Apartment ,1,Manjari,4770900,4650
1,3,3,1,1,0,0,676,1,1,1 BHK Apartment ,2,Mundhwa,3144076,4651
1,3,3,1,1,0,0,1820,2,3,3 BHK Apartment ,1,Kharadi,10829000,5950
1,3,3,1,1,0,1,1966,2,3,3 BHK Apartment ,1,Baner,12385800,6300
1,2,3,1,1,0,0,1018,1,2,2 BHK Apartment ,8,Kothrud,13900000,13654
1,3,3,1,1,0,2,941,2,2,2 BHK Apartment ,1,Viman Nagar,7300000,7757
1,3,3,1,1,0,1,956,2,2,2 BHK Apartment ,1,Bavdhan,5736000,6000
1,3,3,1,1,0,2,1168,2,3,3 BHK Apartment ,1,Viman Nagar,9200000,7876
1,3,3,1,1,0,1,1460,2,3,3 BHK Apartment ,1,Hinjewadi,8614000,5900
1,2,3,1,1,0,2,1060,2,2,2 BHK Apartment ,5,Undri,4664000,4400
1,2,3,1,1,0,6,1130,2,2,2 BHK Apartment ,2,Pashan,8000000,7079
0,3,0,1,1,0,11,1775,2,3,3 BHK Apartment ,4,Kalyani Nagar,14500000,8169
0,3,0,1,1,0,6,1200,2,2,2 BHK Apartment ,4,Wadgaon Sheri,8000000,6666
0,3,1,1,1,0,6,1250,2,2,2 BHK Apartment ,2,Wadgaon Sheri,8000000,6400
0,3,0,1,1,0,6,1550,2,3,3 BHK Apartment ,1,Kalyani Nagar,12000000,7741
0,3,0,1,1,0,6,1150,2,2,2 BHK Apartment ,1,Kalyani Nagar,10200000,8869
0,3,1,1,1,0,6,1775,2,3,3 BHK Apartment ,4,Wadgaon Sheri,14500000,8169
0,3,1,0,0,0,3,2200,2,3,3 BHK Villa ,1,Wagholi,11500000,5227
0,3,0,1,1,0,2,1450,2,3,3 BHK Apartment ,6,NIBM Annex Mohammadwadi,8300000,5724
0,3,0,1,1,0,2,5000,2,4,4 BHK Villa ,0,NIBM Annex Mohammadwadi,30000000,6000
0,3,0,1,1,0,11,900,2,2,2 BHK Apartment ,3,Undri,4500000,5000
1,2,3,1,1,0,2,1400,2,2,2 BHK Apartment ,4,NIBM,5500000,3928
1,2,3,1,1,0,2,1600,2,3,3 BHK Apartment ,4,NIBM,6000000,3750
1,2,3,1,1,0,2,2660,2,4,4 BHK Apartment ,5,NIBM,11500000,4323
0,2,0,0,0,0,26,550,1,1,1 BHK Apartment ,1,Aundh,6000000,10909
0,3,0,1,1,0,3,1250,2,2,2 BHK Apartment ,2,Wadgaon Sheri,8000000,6400
0,3,0,1,1,0,11,1100,2,2,2 BHK Apartment ,4,Kalyani Nagar,11000000,10000
0,3,0,1,1,0,11,1450,2,3,3 BHK Apartment ,5,Kalyani Nagar,14000000,9655
0,3,0,1,1,0,11,1050,2,2,2 BHK Apartment ,5,Wadgaon Sheri,7800000,7428
0,3,0,1,1,0,11,1015,2,2,2 BHK Apartment ,4,Kalyani Nagar,11000000,10837
1,3,3,0,0,0,0,3672,2,4,4 BHK Apartment ,4,Baner,45000000,12254
1,3,3,0,0,0,0,3600,2,4,4 BHK Apartment ,5,Baner,40000000,11111
1,3,3,0,0,0,0,3600,2,4,4 BHK Apartment ,8,Balewadi,40000000,11111
1,3,3,0,0,0,0,2600,2,4,4 BHK Apartment ,1,Balewadi,28000000,10769
1,3,3,0,0,0,0,2200,2,3,3 BHK Apartment ,6,Aundh,24000000,10909
1,3,3,0,0,0,0,2010,2,3,2 BHK Apartment ,6,Baner,20100000,10000
1,3,3,0,0,0,0,2210,2,3,3 BHK Apartment ,6,Aundh,24000000,10859
1,3,3,0,0,0,0,3672,2,4,4 BHK Apartment ,6,Balewadi,47700000,12990
1,3,3,0,0,0,0,2660,2,4,4 BHK Apartment ,5,Balewadi,28000000,10526
0,3,2,0,0,1,6,2500,2,4,4 BHK Apartment ,2,Wakad,25000000,10000
1,3,3,0,0,0,1,2800,2,4,4 BHK Apartment ,3,Bavdhan,22000000,7857
0,3,0,1,1,0,2,1300,2,3,3 BHK Apartment ,4,Wanowrie,11000000,8461
1,3,3,1,1,0,2,1500,2,3,3 BHK Apartment ,9,Wanowrie,8000000,5333
0,2,1,1,1,0,5,560,2,1,1 BHK Apartment ,2,Hadapsar,2750000,4910
0,2,0,1,1,0,5,2050,2,3,3 BHK Apartment ,5,Hadapsar,18000000,8780
0,2,0,0,1,0,14,570,1,1,1 BHK Apartment ,2,Hadapsar,2400000,4210
1,2,3,1,1,0,1,851,2,2,2 BHK Apartment ,5,Hadapsar,6500000,7638
1,2,3,1,1,0,1,1001,2,2,2 BHK Apartment ,3,Hadapsar,8000000,7992
0,2,0,0,0,0,21,515,2,1,1 BHK Apartment ,1,Aundh,6000000,11650
0,2,0,1,1,0,6,950,1,2,2 BHK Apartment ,2,Hadapsar,7000000,7368
